,brand,store,sido,gungu,address,phone
97,cheogajip,둔곡점,대전,유성구,대전 유성구 과학지원4길13,042-933-2365
98,cheogajip,주안북부점,인천,미추홀구,인천 미추홀구 길파로27번길43,032-875-3224
99,cheogajip,보라점,경기,용인시,경기 용인시 기흥구 한보라1로10번길5,031-283-7942
100,cheogajip,동탄호수점,경기,화성시,경기 화성시 동탄대로1길32,031-374-9399
101,cheogajip,김천부상점,경북,김천시,경북 김천시 남면 농남로1053,054-434-7999
102,cheogajip,강릉옥계점,강원,강릉시,강원 강릉시 옥계면 현내시장길57,033-533-9979
103,cheogajip,쌍촌점,광주,서구,광주 서구 월드컵4강로181번길26,062-371-9281
104,cheogajip,송도월드마크점,인천,연수구,인천 연수구 컨벤시아대로50,032-832-8328
105,cheogajip,망포아이파크캐슬점,경기,화성시,경기 화성시 동탄지성로469번길60,031-8050-0917
106,cheogajip,성남은행점,경기,성남시,경기 성남시 중원구 산성대로582번길10,031-733-9292
107,cheogajip,봉선점,광주,남구,광주 남구 대남대로171번길7,062-710-8595
108,cheogajip,호명점,경북,예천군,경북 예천군 호명면 행복로177,054-653-9253
109,cheogajip,도래울점,경기,고양시,경기 고양시 덕양구 도래울2로 3,031-963-7077
110,cheogajip,궐동점,경기,오산시,경기 오산시 궐리사로8,031-372-9257
111,cheogajip,학익점,인천,미추홀구,인천 미추홀구 소성로230,032-875-9282
112,cheogajip,송내점,경기,부천시,경기 부천시 송내대로16,032-710-3477
113,cheogajip,미사강변점,경기,하남시,경기 하남시 미사강변한강로158번길138,031-8027-8388
114,cheogajip,원종역점,경기,부천시,경기 부천시 원종로65번길14-23,032-678-8825
115,cheogajip,동탄역점,경기,화성시,경기 화성시 동탄대로591,031-376-8252
116,cheogajip,양지점,경기,용인시,경기 용인시 처인구 양지면 양지로148번길7,031-322-8282
117,cheogajip,상대점,경남,진주시,경남 진주시 동진로167번길15-8,055-762-9982
118,cheogajip,진동점,경남,창원시,경남 창원시 마산합포구 진동면 신서촌2길34,055-271-9905
119,cheogajip,진주문산점,경남,진주시,경남 진주시 문산읍 소문길51,055-761-9992
120,cheogajip,한강센트럴자이점,경기,김포시,경기 김포시 태장로823,031-996-2845
121,cheogajip,개운한신점,강원,원주시,강원 원주시 송림길48,033-766-9262
122,cheogajip,정림점,대전,서구,대전 서구 정림로70번길 6,042-583-9945
123,cheogajip,신봉점,경기,용인시,경기 용인시 수지구 신봉1로157,031-261-9282
124,cheogajip,청북점,경기,평택시,경기 평택시 청북읍 안청로2길33-36,031-682-2223
125,cheogajip,엄사점,충남,계룡시,"충남 계룡시 엄사면 전원1길 33-9, 1층",042-841-1159
126,cheogajip,검단파라곤센트럴점,인천,서구,인천 서구 이음2로29,032-566-5573
127,cheogajip,동양대점,경기,동두천시,경기 동두천시 평화로2784,031-866-9285
128,cheogajip,백천점,경북,경산시,경북 경산시 경청로219길4-6,053-816-8777
129,cheogajip,흥남점,경남,거제시,경남 거제시 장목면 흥남길52,055-736-0562
130,cheogajip,봉림점,경남,창원시,경남 창원시 의창구 대봉로20,055-277-8295
131,cheogajip,해운대중동점,부산,해운대구,부산 해운대구 좌동순환로8번길78,051-701-9292
132,cheogajip,임동신안점,광주,북구,광주 북구 태봉로9,062-524-9291
133,cheogajip,일산점,경기,고양시,경기 고양시 일산서구 고양대로706-25,031-977-9270
134,cheogajip,울진북면점,경북,울진군,경북 울진군 북면 덕구온천로28,054-783-0747
135,cheogajip,오천남부점,전남,순천시,전남 순천시 우석로134,061-745-9289
136,cheogajip,영광점,전남,영광군,전남 영광군 영광읍 중앙로136,061-351-9289
137,cheogajip,안목해변점,강원,강릉시,강원 강릉시 견소동237,033-652-9282
138,cheogajip,신항점,경남,창원시,경남 창원시 진해구 신항4로41-34,055-552-1882
139,cheogajip,구미신평점,경북,구미시,경북 구미시 칠성로2길39,054-444-0202
140,cheogajip,소양점,강원,춘천시,강원 춘천시 소양로186,033-255-8881
141,cheogajip,청주성안점,충북,청주시,충북 청주시 상당구 단재로24-2,043-259-7527
142,cheogajip,삼천점,전북,전주시,전북 전주시 완산구 삼천천변1길17,063-211-9282
143,cheogajip,삼문점,경남,밀양시,경남 밀양시 중앙로234-3,055-354-8592
144,cheogajip,산성복수점,대전,중구,대전 중구 산성동119-1,042-585-1188
145,cheogajip,무선점,전남,여수시,전남 여수시 성산6길53-9,061-682-9982
146,cheogajip,명서점,경남,창원시,경남 창원시 의창구 명지로82-11,055-288-9290
147,cheogajip,남면혁신점,경북,김천시,경북 김천시 남면 천동길303-5,054-439-8809
148,cheogajip,구좌점,제주,제주시,제주 제주시 구좌읍 덕행로262-11,064-782-0099
149,cheogajip,구룡포점,경북,포항시,경북 포항시 남구 구룡포읍 구룡포길86,054-276-9985
150,cheogajip,교현안림점,충북,충주시,충북 충주시 연원10길15,043-848-2918
151,cheogajip,고암장락점,충북,제천시,충북 제천시 용두천로378,043-643-5808
152,cheogajip,고성점,경남,고성군,경남 고성군 고성읍 성내로92,055-672-9290
153,cheogajip,창현점,경기,남양주시,경기 남양주시 화도읍 경춘로1922번길13,031-593-9982
154,cheogajip,풍산점,경기,하남시,경기 하남시 신평로168,031-8027-9295
155,cheogajip,송도랜드마크점,인천,연수구,인천 연수구 아트센터대로168번길100,032-831-3834
156,cheogajip,방서지구점,충북,청주시,충북 청주시 상당구 2순환로2031,043-288-9287
157,cheogajip,강서점,충북,청주시,충북 청주시 흥덕구 서현북로 80,043-233-5444
158,cheogajip,용암점,충북,청주시,충북 청주시 상당구 월평로203,043-295-1112
159,cheogajip,대흥대사점,대전,중구,대전 중구 충무로 73,042-254-9942
160,cheogajip,고덕좌교점,경기,평택시,경기 평택시 고덕국제5로160,031-662-9982
161,cheogajip,시흥시청점,경기,시흥시,경기 시흥시 시청로72번길15-3,031-318-9946
162,cheogajip,고척점,서울,구로구,서울 구로구 경인로35길49,02-2619-6625
163,cheogajip,우산점,강원,원주시,강원 원주시 우산초교길58,033-733-1217
164,cheogajip,월평점,대전,서구,대전 서구 월평중로50,042-486-9536
165,cheogajip,백운역점,인천,부평구,인천 부평구 마장로36번길26,032-501-9282
166,cheogajip,가평북면점,경기,가평군,경기 가평군 북면 화악산로 11,031-582-7114
167,cheogajip,옥정점,경기,양주시,"경기 양주시 새터로 21-10 , 102호",031-862-9902
168,cheogajip,자양점,서울,광진구,서울 광진구 뚝섬로55길22,02-455-8292
169,cheogajip,천호점,서울,강동구,서울 강동구 천중로72,02-474-4467
170,cheogajip,오창1산단점,충북,청주시,충북 청주시 청원구 오창읍 오창중앙로 123-12,043-212-0215
171,cheogajip,포남점,강원,강릉시,강원 강릉시 성덕포남로153번길15,033-648-5847
172,cheogajip,나성점,세종,나성북1로23,세종 나성북1로23,044-863-8333
173,cheogajip,신양점,충남,예산군,충남 예산군 신양면 청신로 386,041-333-5200
174,cheogajip,성연점,충남,서산시,충남 서산시 성연면 성연3로 76,041-664-8884
175,cheogajip,중문점,제주,서귀포시,제주 서귀포시 천제연로207번길10,064-805-6979
176,cheogajip,광명일직점,경기,광명시,경기 광명시 양달로20번길3,02-899-0438
177,cheogajip,동탄점,경기,화성시,경기 화성시 동탄반송3길8,031-8003-9923
178,cheogajip,관평점,대전,유성구,대전 유성구 관평1로15,042-934-9779
179,cheogajip,부산명륜점,부산,동래구,부산 동래구 시실로49,051-558-7779
180,cheogajip,백운호수점,경기,의왕시,경기 의왕시 백운중앙로99,031-344-9292
181,cheogajip,고양점,경기,고양시,경기 고양시 덕양구 호국로1771,031-969-4777
182,cheogajip,당하점,인천,서구,인천 서구 청마로167번안길17,032-566-9295
183,cheogajip,정발산점,경기,고양시,경기 고양시 일산동구 산두로273번길47-6,031-922-5777
184,cheogajip,석수예술공원점,경기,안양시,경기 안양시 만안구 경수대로1203,031-472-4708
185,cheogajip,울산호계점,울산,북구,울산 북구 동대1길18,052-297-5492
186,cheogajip,쌍용점,충남,천안시,충남 천안시 서북구 월봉로 132 타워프라자 1층 113호,041-901-8966
187,cheogajip,퇴촌점,경기,광주시,경기 광주시 퇴촌면 광동로97,031-766-5633
188,cheogajip,청라호수공원점,인천,서구,인천 서구 크리스탈로102번길 22,032-569-0494
189,cheogajip,귤현점,인천,계양구,인천 계양구 양지로131,032-554-0333
190,cheogajip,문산당동점,경기,파주시,경기 파주시 문산읍 당동1로 52,031-953-5592
191,cheogajip,길음뉴타운점,서울,성북구,"서울 성북구 숭인로 10, 1층(길음동)",02-981-8292
192,cheogajip,금촌2호점,경기,파주시,"경기 파주시 송화로 13 , 169동 113호",031-941-9289
193,cheogajip,현대캠퍼스몰점,경기,남양주시,경기 남양주시 다산순환로 20,031-869-3392
194,cheogajip,반지점,경남,창원시,경남 창원시 성산구 반지로32번길 19,055-237-9293
195,cheogajip,동읍점,경남,창원시,경남 창원시 의창구 동읍 용잠로 34,055-295-7999
196,cheogajip,정평점,경북,경산시,경북 경산시 대학로 64,053-816-2289
197,cheogajip,산격점,대구,북구,대구 북구 대동로1길 23,053-955-9998
198,cheogajip,매천점,대구,북구,대구 북구 매전로 50-10,053-322-4860
199,cheogajip,고산점,대구,수성구,대구 수성구 달구벌대로641길 23,053-795-0999
200,cheogajip,봉화점,경북,봉화군,경북 봉화군 봉화읍 내성로1길 45-1,054-674-4401
201,cheogajip,장성점,전남,장성군,전남 장성군 장성읍 영천로 133-2,061-393-9289
202,cheogajip,미장점,전북,군산시,전북 군산시 미장남로 36,063-468-9282
203,cheogajip,청당청수점,충남,천안시,충남 천안시 동남구 풍세로 932,041-567-4241
204,cheogajip,계룡대점,충남,계룡시,충남 계룡시 신도안면 신도안1길 61,042-551-9298
205,cheogajip,노원역점,서울,노원구,서울 노원구 동일로 1456,02-932-8288
206,cheogajip,가락점,서울,송파구,서울 송파구 송이로17길 54-27,02-400-7711
207,cheogajip,당수점,경기,수원시,경기 수원시 권선구 당진로15번길 56,031-501-9151
208,cheogajip,수원역점,경기,수원시,경기 수원시 팔달구 매산로52번길 16,031-233-7282
209,cheogajip,과천점,경기,과천시,경기 과천시 별양로12,02-504-2560
210,cheogajip,행운점,서울,관악구,서울 관악구 관악로28길 56,02-876-2300
211,cheogajip,고양장항점,경기,고양시,"경기 고양시 일산동구 정발산로 24 , 1층 A-113호(장항동,웨스턴돔1)",031-905-5777
212,cheogajip,쌍문1점,서울,도봉구,"서울 도봉구 우이천로 330, 상가동 1층 102,103호(쌍문동, 삼성래미안)",02-900-8292
213,cheogajip,시흥점,서울,금천구,서울 금천구 독산로14,02-808-8178
214,cheogajip,검단아라점,인천,서구,인천 서구 이음5로 39,032-561-9088
215,cheogajip,향동점,경기,고양시,경기 고양시 덕양구 꽃내음2길 68,02-3159-9289
216,cheogajip,봉담2점,경기,화성시,경기 화성시 봉담읍 매봉로478,031-293-7999
217,cheogajip,낙성대점,서울,관악구,서울 관악구 남부순환로248길 57,02-876-0226
218,cheogajip,간석점,인천,남동구,인천 남동구 경인로 611,032-716-9233
219,cheogajip,물금남양산점,경남,양산시,경남 양산시 물금읍 범어로 102,055-383-9282
220,cheogajip,주엽점,경기,고양시,경기 고양시 일산서구 주화로 42,031-917-7992
221,cheogajip,운정1호점,경기,파주시,경기 파주시 동패로63번길 48-29 102호,031-942-5282
222,cheogajip,신동백점,경기,용인시,경기 용인시 기흥구 언동로217번길 8,031-285-5885
223,cheogajip,보문5가점,서울,성북구,서울 성북구 지봉로20길 81,02-929-5783
224,cheogajip,용인역삼점,경기,용인시,경기 용인시 처인구 지삼로 590번길 10-3,031-328-8855
225,cheogajip,반월점,경기,안산시,경기 안산시 상록구 건건로 93,031-438-5003
226,cheogajip,가능점,경기,의정부시,경기 의정부시 호국로 1135,031-875-9282
227,cheogajip,망우점,서울,중랑구,서울 중랑구 용마산로109길 24,02-494-7878
228,cheogajip,용강점,경북,경주시,경북 경주시 승삼3길 18-1,054-777-4262
229,cheogajip,청천점,인천,부평구,인천 부평구 평천로 115번길 12,032-512-8882
230,cheogajip,조암점,경기,화성시,경기 화성시 우정읍 조암북로 67번길 6-12,031-351-8986
231,cheogajip,구서점,부산,금정구,"부산 금정구 금샘로 262, 216동 104호(구서동, 쌍용예가 2단지)",051-516-7773
232,cheogajip,야당점,경기,파주시,"경기 파주시 경의로1004번길 37 , 롯데프라자 102호",031-941-9288
233,cheogajip,침산점,대구,북구,대구 북구 침산동 456-7,053-356-9909
234,cheogajip,각산점,대구,동구,대구 동구 과학로2길 14,053-964-9280
235,cheogajip,국가산단점,대구,달성군,대구 달성군 구지면 국가산단대로 66길 29,053-615-2234
236,cheogajip,가음점,경남,창원시,경남 창원시 성산구 대정로40번길 7,055-262-7822
237,cheogajip,유니시티점,경남,창원시,경남 창원시 의창구 평산로211번길 18,055-255-9981
238,cheogajip,통영1점,경남,통영시,경남 통영시 광도면 죽림2로 76-95,055-649-5222
239,cheogajip,남해동천점,경남,남해군,경남 남해군 삼동면 동부대로 1235,055-867-7273
240,cheogajip,대원점,경남,창원시,경남 창원시 성산구 창원대로 548,055-237-8999
241,cheogajip,광석동점,경북,안동시,경북 안동시 대석2길 3,054-854-8288
242,cheogajip,포항송도점,경북,포항시,경북 포항시 남구 송림로 16,054-255-9929
243,cheogajip,문덕점,경북,포항시,경북 포항시 남구 오천읍 냉천로 302번길 43,054-292-1128
244,cheogajip,거문도점,전남,여수시,전남 여수시 삼산면 삼호교길 2,061-665-9282
245,cheogajip,나주점,전남,나주시,전남 나주시 나주천2길 72,061-332-9281
246,cheogajip,중화서신점,전북,전주시,전북 전주시 완산구 효자로 329,063-286-9282
247,cheogajip,정읍상동점,전북,정읍시,전북 정읍시 상동중앙로 2,063-536-9281
248,cheogajip,법동점,대전,대덕구,대전 대덕구 계족로663번길 29-18,042-633-9285
249,cheogajip,서산예천점,충남,서산시,충남 서산시 동서1로 174,041-667-0502
250,cheogajip,아산중앙점,충남,아산시,충남 아산시 시민로 258번길 3-3,041-545-6454
251,cheogajip,충북혁신도시점,충북,진천군,충북 진천군 덕산읍 대하로 114,043-534-8136
252,cheogajip,영동점,충북,영동군,충북 영동군 영동읍 계산로 18,043-745-1934
253,cheogajip,건대화양점,서울,광진구,서울 광진구 능동로13길44,02-464-7792
254,cheogajip,청전점,충북,제천시,"충북 제천시 내제로 25길 6-1, 1층(청전동)",043-643-0478
255,cheogajip,주문진점,강원,강릉시,강원 강릉시 주문진읍 연주로 321,033-661-3744
256,cheogajip,송림재능대점,인천,동구,인천 동구 새천년로 38번길 11,032-772-1157
257,cheogajip,불로점,인천,서구,인천 서구 검단로 759,032-567-4579
258,cheogajip,공업탑점,울산,남구,울산 남구 수암로 12,051-267-8592
259,cheogajip,안양2점,경기,안양시,경기 안양시 만안구 박달로 542번길 24,031-447-9292
260,cheogajip,고덕국제점,경기,평택시,경기 평택시 고덕국제4길54,031-667-8972
261,cheogajip,영통점,경기,수원시,경기 수원시 영통구 청명로 69,031-202-9966
262,cheogajip,녹양점,경기,의정부시,경기 의정부시 녹양로 79,031-875-9982
263,cheogajip,송도센트럴점,인천,연수구,인천 연수구 하모니로 188번길 17,032-831-8980
264,cheogajip,은계지구점,경기,시흥시,경기 시흥시 은계호수로 49,031-315-5818
265,cheogajip,다산진건1호점,경기,남양주시,경기 남양주시 다산순환로  325,031-567-9282
266,cheogajip,당왕동점,경기,안성시,경기 안성시 고수2로 70,070-7543-7593
267,cheogajip,월곡역점,서울,성북구,서울 성북구 화랑로5길 4,02-941-9982
268,cheogajip,이태원역점,서울,용산구,서울 용산구 우사단로10길 28,02-792-8292
269,cheogajip,남항점,부산,영도구,부산 영도구 남항시장길 324,051-418-5255
270,cheogajip,내동점,경남,김해시,경남 김해시 금관대로 1365번길 4-21,055-335-9233
271,cheogajip,홍대점,서울,마포구,서울 마포구 와우산로 23,02-333-9282
272,cheogajip,문형점,경기,광주시,경기 광주시 오포읍 오포로 447,031-768-8640
273,cheogajip,화봉점,울산,북구,울산 북구 상방로 78,052-283-1700
274,cheogajip,안동송현점,경북,안동시,경북 안동시 합전2길 19,054-854-9982
275,cheogajip,안동옥동점,경북,안동시,경북 안동시 복주1길 5,054-854-1377
276,cheogajip,목천점,충남,천안시,충남 천안시 동남구 목천읍 목천안터2길 10,041-555-6211
277,cheogajip,신기점,전남,여수시,전남 여수시 신기남4길 14,061-691-8292
278,cheogajip,케이준 덕풍점,경기,하남시,경기 하남시 하남대로861번길 5,031-791-7942
279,cheogajip,해운대점,부산,해운대구,부산 해운대구 해운대해변로209번길26,051-744-9004
280,cheogajip,시청점,부산,연제구,부산 연제구 연제로 3,051-851-8292
281,cheogajip,압량점,경북,경산시,경북 경산시 청운2로 74,053-802-9985
282,cheogajip,축산점,경북,영덕군,경북 영덕군 축산면 축산항길 15,054-734-7377
283,cheogajip,경북외동점,경북,경주시,경북 경주시 외동읍 내외로 229-5,054-746-2676
284,cheogajip,평리점,대구,서구,대구 서구 통학로 85-2,053-566-5222
285,cheogajip,임당점,경북,경산시,경북 경산시 남매공원로2길35,053-802-7277
286,cheogajip,칠곡가산점,경북,칠곡군,경북 칠곡군 가산면 경북대로1558,054-971-8111
287,cheogajip,당진송산점,충남,당진시,충남 당진시 송산면 서정9길 12,041-355-8884
288,cheogajip,당진CGV점,충남,당진시,충남 당진시 북문로1길 41-12,041-358-3904
289,cheogajip,탕정점,충남,아산시,충남 아산시 탕정면 탕정면로8번길 93-3,041-548-9997
290,cheogajip,사창점,충북,청주시,충북 청주시 서원구 창직로 17-1,043-903-5443
291,cheogajip,성화점,충북,청주시,충북 청주시 서원구 신화로 39,043-234-8989
292,cheogajip,태안점,충남,태안군,충남 태안군 태안읍 군청7길 31,041-675-0831
293,cheogajip,청양점,충남,청양군,충남 청양군 청양읍 칠갑산로 2길 13,041-944-0025
294,cheogajip,지웰점,충북,청주시,충북 청주시 흥덕구 대신로73번길 86-1,070-7622-5999
295,cheogajip,종촌점,세종,도움1로,세종 도움1로 106,044-866-2332
296,cheogajip,조치원점,세종,조치원읍,세종 조치원읍 행복길20,044-862-9399
297,cheogajip,장항점,충남,서천군,충남 서천군 장항읍 신창서로51,041-956-6035
298,cheogajip,옥산점,충북,청주시,충북 청주시 흥덕구 옥산면 옥산시내1길 49,043-266-8292
299,cheogajip,연무대점,충남,논산시,충남 논산시 연무읍 연무로 189,041-742-0323
300,cheogajip,안서점,충남,천안시,충남 천안시 동남구 상명대길32,041-562-3111
301,cheogajip,신불당점,충남,천안시,충남 천안시 서북구 불당동 1548,041-569-2992
302,cheogajip,신방청당점,충남,천안시,충남 천안시 동남구 풍세로 810,041-571-9922
303,cheogajip,산남점,충북,청주시,충북 청주시 서원구 산남동 498,043-298-7771
304,cheogajip,분평점,충북,청주시,충북 청주시 분평동 249-6,043-291-9996
305,cheogajip,보은점,충북,보은군,충북 보은군 보은읍 삼산남로 20,043-543-2202
306,cheogajip,보람시청점,세종,호려울로,세종 호려울로 19,044-862-9289
307,cheogajip,모항만리포점,충남,태안군,충남 태안군 소원면 모항파도로 113,041-672-9072
308,cheogajip,만년점,대전,서구,대전 서구 만년남로3번길 1,042-489-9282
309,cheogajip,둔포점,충남,아산시,충남 아산시 둔포면 아산밸리중앙로47,041-534-7776
310,cheogajip,동대점,충남,보령시,충남 보령시 동현로 26,041-934-4073
311,cheogajip,도담어진점,세종,보듬4로,세종 보듬4로 9,044-867-9287
